定式ID,匹配步数,落子前缀
kj_34808,9,pd tt nc rd qd re rc qh tt
kj_77114,8,pd tt nc re rd qe qd qh
kj_64152,6,pd nc qf pb lc ne
kj_54125,6,pd nc qf pb lc qc
kj_98558,6,pd nc qf pb qc kc
kj_98558,6,pd nc qf pb qc kc
kj_99516,6,pd nc ob qf qe pf
kj_76403,11,pc pe qe qf qd tt pf qg of qj ph
kj_77237,10,pc qe pg oe nd pi ng qg pf qf
kj_43705,7,pd nc pf tt kd kc tt
kj_64152,6,pd nc qf pb lc ne
kj_44449,6,pd tt mc qf tt ld
kj_53303,6,pc pe qe qf qd pg
kj_21129,9,pc pe tt qc qb qd mc rb tt
kj_64152,6,pd nc qf pb lc ne
kj_27813,6,pc qe tt md od pg
kj_94258,9,pd nc pf tt lc ld kd ke kc
kj_54125,6,pd nc qf pb lc qc
kj_57458,6,pd tt nc kc tt qf
kj_32989,6,pd tt nc rd qf rf
kj_49922,6,pc qe tt nc od nd
kj_65364,6,pd tt kc kd ld ke
kj_62621,6,pc tt qf tt lc nc
kj_53945,6,pd nc qf tt lc pb
kj_43798,12,pd nc lc ne pf kd ld le ke je kf lf
kj_37429,10,pc pe qe pd qd oc qf pb qc nd
kj_63142,13,pd nc tt qf nd md oc ne od mc pf pg of
kj_93524,6,pd nc qf pb tt qc
kj_26437,8,pd nc kd qf nd md ne pc
kj_90348,13,pd qc pc qd qe re rf qf pe rg rd sf rc
kj_98558,6,pd nc qf pb qc kc
kj_88678,8,pd nc qf pb tt ne tt pi
kj_70251,7,pc pe qe qf qd tt pf
kj_91262,8,pc tt qe oc od nc pb nd
kj_14739,7,pd nc pf tt le kc tt
kj_98960,7,pd nc qf pb lc qc nd
kj_61745,7,pd nc oc nd qf jc lc
kj_98558,6,pd nc qf pb qc kc
kj_88729,8,pd nc kd qf ne lc kc me
kj_85254,6,pc tt qe pf pe nf
kj_32882,15,pd nc kd qc pc qd pe pb ob qb oc qf tt nb nd
kj_64430,8,pd nc qf ne tt qc pc pb
kj_88107,17,pd tt nc re qe rd rf pc qf oc od nb mb mc nd lb qc
kj_29298,6,pc pe qg qc mc pd
kj_13318,7,pd nc qf pb mc md lc
kj_91319,7,pc pe tt qc qb qd ob
kj_49922,6,pc qe tt nc od nd
kj_53303,6,pc pe qe qf qd pg
kj_88653,8,pc pe qe pd qd oc qc pf
kj_83361,7,pc pe qe qf qd pg nd
kj_59444,6,pd nc qf pb mc mb
kj_98295,6,pd nc pf pb qc ld
kj_57174,8,pd tt mc ld md le me lf
kj_54310,6,pc pe oe of od pf
kj_18716,11,pc pe qe pd qd oc qf pb qc nd tt
kj_84862,10,pd nc lc qc pc qd pe pb ob qb
kj_83508,8,pd kc tt nc oc nd pf tt
kj_33449,11,pd nc kd qf nd md ne qc oc qd qh
kj_88653,8,pc pe qe pd qd oc qc pf
kj_53263,7,pd kc tt nc oc nd pf
kj_80056,16,pc qe tt od oc nd mc tt md me le mf lf mg qd rd
kj_53303,6,pc pe qe qf qd pg
kj_45941,6,pc tt qe pf pe of
kj_52765,7,pd nc oc nd pf kc ke
kj_91914,6,pc qe ph tt qd od
kj_18716,11,pc pe qe pd qd oc qf pb qc nd tt
kj_50897,7,pd nc lc qc qd pc od
kj_57123,7,pd tt nc re qd qh qf
kj_82354,10,pc pe qe qf qd tt pf qg of pi
kj_84862,10,pd nc lc qc pc qd pe pb ob qb
kj_92422,6,pd nc pf qh tt pk
kj_43452,6,pc tt qe tt lc tt
kj_80647,8,pd tt nc re rd qe qd qi
kj_47579,6,pd tt mc tt qe tt
kj_54125,6,pd nc qf pb lc qc
kj_76400,7,pc pe qe qf qd pg of
kj_53824,6,pc qe tt nd nc od
kj_17807,14,pd nc kd qc pc qd pe pb ob qb oc qf tt gd
kj_19686,6,pd nc qf tt kd ne
kj_43798,12,pd nc lc ne pf kd ld le ke je kf lf
kj_60055,6,pd nc qf ne pb tt
kj_40264,9,pd nc lc qf nd qc pc qd pe
kj_25590,8,pd tt nc qf qe pf ph ne
kj_63543,6,pc tt qe oc od nc
kj_38162,10,pc qe qi nd od oe nc md mc ld
kj_18970,7,pd tt nc rd qf rf qg
kj_93524,6,pd nc qf pb tt qc
kj_93978,7,pc tt qf tt lc tt ke
kj_54713,8,pd nc kd pf nd qc qd md
kj_26729,6,pc tt qe lc tt oc
kj_84862,10,pd nc lc qc pc qd pe pb ob qb
kj_53303,6,pc pe qe qf qd pg
kj_81017,14,pd nc pf qc pc pb ob qb oc re rf qe qf nb
kj_28726,7,pd nc pf tt oi ni oh
kj_13318,7,pd nc qf pb mc md lc
kj_02742,9,pd tt nc rd qd re rc rb sc
kj_96542,8,pc qe tt mc od qh qd pe
kj_25283,6,pc qe tt md od qh
kj_52407,8,pc pe qe qf qd pg tt nd
kj_91520,8,pc pe tt qc qb qd mc rb
kj_30861,8,pd nc qf ne pb pg pf ng
kj_54713,8,pd nc kd pf nd qc qd md
kj_33342,7,pd tt nc md mc kd kf
kj_23359,7,pd nc qf pb tt qc tt
kj_79736,17,pd tt nc md tt mc nd me tt qf pf pg of qd qc qe rc
kj_64104,6,pd tt nc qf pf pg
kj_31082,6,pd nc pf pb mc mb
kj_66940,10,pd nc oc nd qf tt nb mb ob lc
kj_36814,8,pc pe qe qf qd pg tt qj
kj_85773,8,pc pe tt qc qb qd mc tt
kj_69616,7,pc qe qd pe nc tt ph
kj_80651,7,pd tt nc re rd qe qd
kj_42271,6,pc tt pe tt kc qg
kj_07334,7,pd nc qf pb qc ld tt
kj_98558,6,pd nc qf pb qc kc
kj_39717,6,pd nc qf pb qc ld
kj_98558,6,pd nc qf pb qc kc
kj_54310,6,pc pe oe of od pf
kj_29298,6,pc pe qg qc mc pd
kj_07012,13,pd nc pf tt lc ld kd kc ke lb tt mc kb
kj_98558,6,pd nc qf pb qc kc
kj_84151,7,pd tt mc qd qe re pe
kj_27854,9,pd nc kd pf nd qc oc qd qh
kj_19851,7,pd nc oc nd pf kd mg
kj_43452,6,pc tt qe tt lc tt
kj_47818,11,pc pe qe qf qd pf nc pj tt md nd
kj_51498,6,pd nc qf tt pb ne
kj_18369,6,pc qe od mc pf qg
kj_82018,7,pc qe tt od oc nd mc
kj_39717,6,pd nc qf pb qc ld
kj_59329,7,pd nc qf ne oc nb tt
kj_36833,8,pd nc oc nd pf tt nb mb
kj_04210,11,pc qe tt od pd pe oe nd of ob pb
kj_17631,8,pd nc kd qf ne qc pc pb
kj_27700,13,pc qe tt od oc nd mc md lc ld kc kd tt
kj_10885,14,pd nc qf qc pc pb ob qb oc re rf qe pe pf
kj_28754,7,pd nc pf kd me md le
kj_37391,15,pd nc pf qc pc pb ob qb oc re rf qe qf pe oe
kj_16971,11,pc pe qe qf qd pg tt nd tt ob pb
kj_60118,6,pd tt nc tt qe tt
kj_19417,7,pc qe ph od oc nd mc
kj_07334,7,pd nc qf pb qc ld tt
kj_60278,6,pc tt pe tt ph qc
kj_81037,6,pd nc qf tt md nd
kj_38564,12,pc pe qe qf qd pf nc tt ph mf rh rg
kj_91261,9,pc tt qe oc od nc pb nd oe
kj_03907,6,pc pe oe of od pg
kj_57523,12,pd nc kd qc pc qd pe pb ob qb oc qf
kj_49685,7,pc tt pe kc kd tt lc
kj_98295,6,pd nc pf pb qc ld
kj_56515,21,pd nc qf pc qc qb oc pb ob od nb qd pe rd mc nd md of mf nf mg
kj_21575,6,pc qe tt md od jd
kj_74597,6,pd tt nc tt kd tt
kj_18716,11,pc pe qe pd qd oc qf pb qc nd tt
kj_65189,7,pd nc oc nd pf kc tt
kj_58702,8,pc pe qe qf qd tt pf tt
kj_88780,7,pd nc oc nd qf jd tt
kj_72989,6,pd tt nc qf tt rd
kj_22854,6,pd nc kd ic nd md
kj_34974,6,pd tt nc qh qf tt
kj_74845,10,pd nc pf qc pc pb ob qb oc re
kj_70622,6,pd nc qf tt jc tt
kj_78670,7,pd nc kd qc pc qd pe
kj_53123,6,pd nc kd qf nd qc
kj_03766,23,pc qe tt od oc nd mc md lc ld kd ke je nc nb ob mb qc pb jd kc kf tt
kj_74049,6,pd nc oc nd pf nf
kj_03907,6,pc pe oe of od pg
kj_91296,6,pd tt ke kf tt le
kj_53561,6,pc qe od tt qi rc
kj_90494,6,pc qe pg oe nd pi
kj_92555,9,pc pe qe qf qd pf nc qj tt
kj_92555,9,pc pe qe qf qd pf nc qj tt
kj_39717,6,pd nc qf pb qc ld
kj_26251,6,pd tt nc qi tt rd
kj_51482,11,pc pe qe pd qd oc pf qc pb rc ob
kj_53303,6,pc pe qe qf qd pg
kj_53303,6,pc pe qe qf qd pg
kj_52931,9,pc pe qe qf qd pg of og rf
kj_21272,6,pd tt nc qf re pc
kj_69629,6,pd nc pf qh lc ne
kj_27212,15,pc qe tt nd pe pd od qd oc oe pf qc nc of pg
kj_51509,6,pd nc qf tt kc tt
kj_72225,6,pc qe od tt kc tt
kj_53303,6,pc pe qe qf qd pg
kj_53267,6,pd kc tt nc oc nd
kj_36929,6,pd nc qf kd tt pb
kj_96445,10,pc pe qe qf qd pf nc pj ok pk
kj_92741,8,pc qe qi nd pe pf oe qd
kj_98558,6,pd nc qf pb qc kc
kj_53996,6,pd nc oc nd pf jd
kj_70705,10,pc pe qe qf qd pf nc pj tt qm
kj_52407,8,pc pe qe qf qd pg tt nd
kj_79359,7,pd tt nc qd qc qe rc
kj_81017,14,pd nc pf qc pc pb ob qb oc re rf qe qf nb
kj_13338,11,pd nc lc qf pf pg of qd qc qe pc
kj_82225,6,pd tt mc qc qd pc
kj_41294,9,pd tt nc re rd qe qd qi pg
kj_67950,9,pc pe qe qf qd pg tt nd tt
kj_04058,10,pd tt nc re rd qe qd qi tt oi
kj_32660,11,pc qe nd tt kc qc qb pb ob pd pa
kj_82210,9,pd nc lc qf nd qc oc qd tt
kj_66888,8,pd nc oc nd qf tt nb mb
kj_76119,6,pd nc qf tt pb kd
kj_45643,8,pc qe tt nc nd md od mc
kj_52565,7,pd nc qf pb nd md ne
kj_38640,7,pc qe ph tt qd pe nd
kj_58598,6,pd nc pf tt lc tt
kj_92555,9,pc pe qe qf qd pf nc qj tt
kj_64357,7,pd tt nc rd rf qe qg
kj_39717,6,pd nc qf pb qc ld
kj_08463,9,pc qe od tt pf qg ph qh pi
kj_42776,7,pd nc kc pf nd qc qd
kj_76400,7,pc pe qe qf qd pg of
kj_81017,14,pd nc pf qc pc pb ob qb oc re rf qe qf nb
kj_77114,8,pd tt nc re rd qe qd qh
kj_63378,7,pc tt qf tt lc ke tt
kj_81037,6,pd nc qf tt md nd
kj_35398,6,pd lc nc tt le md
kj_16087,9,pd nc qf pb qi tt md mc ld
kj_03907,6,pc pe oe of od pg
kj_54310,6,pc pe oe of od pf
kj_65414,8,pd tt nd qd qc qe rc pe
kj_50247,8,pd tt nc qf qe pf qh me
kj_91920,13,pd tt mc qc qd pc oc ob nb od nc rd re
kj_75682,7,pc pe qe pd qd oc qf
kj_02283,6,pc qe od pg ld tt
kj_40112,7,pd nc pf kd tt qh tt
kj_91319,7,pc pe tt qc qb qd ob
kj_11905,7,pd tt nc tt qi qf rd
kj_50142,6,pd nc oc nd pf ng
kj_25283,6,pc qe tt md od qh
kj_42776,7,pd nc kc pf nd qc qd
kj_53303,6,pc pe qe qf qd pg
kj_51354,12,pd nc qf pc qc qb oc pb od ob nd md
kj_80647,8,pd tt nc re rd qe qd qi
kj_26251,6,pd tt nc qi tt rd
kj_29298,6,pc pe qg qc mc pd
kj_60790,6,pd nc pf qh qj oh
kj_46950,10,pc qe nd qc qb rb qd rc pd rd
kj_94479,6,pd nc lc ne ic pf
kj_42629,8,pd qc pc qd qe re qb rb
kj_56622,7,pc pe qe qf qd pf nc
kj_25283,6,pc qe tt md od qh
